"a":"PARTICLE"
"kin":"PARTICLE"
"akesi":"NOUN"
"ala":"ADJECTIVE"
"alasa":"VERB"
"ali":"ADJECTIVE
"ale":"ADJECTIVE
NOUN
NUMBER"
"anpa":"ADJECTIVE"
"ante":"ADJECTIVE"
"anu":"PARTICLE"
"awen":"ADJECTIVE
PRE-VERB"
"e":"PARTICLE"
"en":"PARTICLE"
"esun":"NOUN"
"ijo":"NOUN"
"ike":"ADJECTIVE"
"ilo":"NOUN"
"insa":"NOUN"
"jaki":"ADJECTIVE"
"jan":"NOUN"
"jelo":"ADJECTIVE"
"jo":"VERB"
"kala":"NOUN"
"kalama":"VERB"
"kama":"ADJECTIVE
PRE-VERB"
"kasi":"NOUN"
"ken":"PRE-VERB
ADJECTIVE"
"kepeken":"PREPOSITION"
"kili":"NOUN"
"kiwen":"NOUN"
"ko":"NOUN"
"kon":"NOUN"
"kule":"ADJECTIVE"
"kulupu":"NOUN"
"kute":"NOUN
VERB"
"la":"PARTICLE"
"lape":"ADJECTIVE"
"laso":"ADJECTIVE"
"lawa":"NOUN
VERB"
"len":"NOUN"
"lete":"ADJECTIVE"
"li":"PARTICLE"
"lili":"ADJECTIVE"
"linja":"NOUN"
"lipu":"NOUN"
"loje":"ADJECTIVE"
"lon":"PREPOSITION"
"luka":"NOUN
NUMBER"
"oko":"NOUN
VERB
PRE-VERB"
"lukin":"NOUN
VERB
PRE-VERB"
"lupa":"NOUN"
"ma":"NOUN"
"mama":"NOUN"
"mani":"NOUN"
"meli":"NOUN"
"mi":"NOUN"
"mije":"NOUN"
"moku":"VERB"
"moli":"ADJECTIVE"
"monsi":"NOUN"
"mu":"PARTICLE"
"mun":"NOUN"
"musi":"ADJECTIVE"
"mute":"ADJECTIVE
NOUN"
"nanpa":"PARTICLE
NOUN"
"nasa":"ADJECTIVE"
"nasin":"NOUN"
"nena":"NOUN"
"ni":"ADJECTIVE"
"nimi":"NOUN"
"noka":"NOUN"
"o":"PARTICLE"
"olin":"VERB"
"ona":"NOUN"
"open":"VERB"
"pakala":"ADJECTIVE"
"pali":"VERB"
"palisa":"NOUN"
"pan":"NOUN"
"pana":"VERB"
"pi":"PARTICLE"
"pilin":"NOUN
ADJECTIVE"
"pimeja":"ADJECTIVE"
"pini":"ADJECTIVE"
"pipi":"NOUN"
"poka":"NOUN"
"poki":"NOUN"
"pona":"ADJECTIVE"
"pu":"ADJECTIVE"
"sama":"ADJECTIVE
PREPOSITION"
"seli":"ADJECTIVE"
"selo":"NOUN"
"seme":"PARTICLE"
"sewi":"NOUN
ADJECTIVE"
"sijelo":"NOUN"
"sike":"NOUN
ADJECTIVE"
"sin":"ADJECTIVE"
"namako":"ADJECTIVE"
"sina":"NOUN"
"sinpin":"NOUN"
"sitelen":"NOUN"
"sona":"VERB
PRE-VERB"
"soweli":"NOUN"
"suli":"ADJECTIVE"
"suno":"NOUN"
"supa":"NOUN"
"suwi":"ADJECTIVE"
"tan":"PREPOSITION"
"taso":"PARTICLE
ADJECTIVE"
"tawa":"PREPOSITION
ADJECTIVE"
"telo":"NOUN"
"tenpo":"NOUN"
"toki":"VERB"
"tomo":"NOUN"
"tu":"NUMBER"
"unpa":"VERB"
"uta":"NOUN"
"utala":"VERB"
"walo":"ADJECTIVE"
"wan":"ADJECTIVE
NUMBER"
"waso":"NOUN"
"wawa":"ADJECTIVE"
"weka":"ADJECTIVE"
"wile":"PRE-VERB"
